iter	Passed	Remaining
0	59	59798
1	60	30014
2	60	20093
3	60	15136
4	61	12156
5	61	10175
6	61	8760
7	62	7695
8	62	6865
9	62	6208
10	63	5668
11	63	5219
12	63	4839
13	64	4511
14	64	4229
15	64	3984
16	65	3761
17	65	3565
18	65	3387
19	65	3229
20	66	3086
21	66	2955
22	66	2835
23	67	2726
24	67	2628
25	67	2535
26	67	2449
27	68	2369
28	68	2295
29	68	2226
30	69	2160
31	69	2100
32	69	2043
33	70	1989
34	70	1938
35	70	1890
36	70	1845
37	71	1815
38	71	1773
39	72	1733
40	72	1696
41	72	1659
42	73	1626
43	73	1594
44	73	1565
45	74	1535
46	74	1507
47	74	1480
48	74	1455
49	75	1431
50	75	1407
51	75	1383
52	76	1361
53	76	1339
54	76	1319
55	77	1299
56	77	1280
57	77	1260
58	77	1243
59	78	1224
60	78	1207
61	78	1191
62	79	1175
63	79	1160
64	79	1145
65	79	1130
66	80	1116
67	80	1102
68	80	1089
69	80	1075
70	81	1063
71	81	1051
72	81	1038
73	82	1027
74	82	1016
75	82	1005
76	82	994
77	83	984
78	83	977
79	84	967
80	84	957
81	84	948
82	84	937
83	85	927
84	85	918
85	85	910
86	85	901
87	86	892
88	86	884
89	86	876
90	87	869
91	87	861
92	87	853
93	87	846
94	88	839
95	88	831
96	88	824
97	88	818
98	89	811
99	89	805
100	89	799
101	90	793
102	90	787
103	90	781
104	90	775
105	91	769
106	91	763
107	91	758
108	92	752
109	92	747
110	92	742
111	93	737
112	93	732
113	93	728
114	94	723
115	94	718
116	94	713
117	94	708
118	95	704
119	95	699
120	95	694
121	95	689
122	96	685
123	96	681
124	96	676
125	97	673
126	97	668
127	97	664
128	97	660
129	98	656
130	98	652
131	98	648
132	98	644
133	99	640
134	99	636
135	99	633
136	100	629
137	100	626
138	100	622
139	100	619
140	101	615
141	101	611
142	101	608
143	101	604
144	102	602
145	102	599
146	102	596
147	103	593
148	103	590
149	103	588
150	104	585
151	104	582
152	104	579
153	104	576
154	105	573
155	105	570
156	105	567
157	105	564
158	106	561
159	106	559
160	106	556
161	107	554
162	107	552
163	107	550
164	108	547
165	108	545
166	108	542
167	109	540
168	109	537
169	109	535
170	109	532
171	110	530
172	110	528
173	110	525
174	110	523
175	111	520
176	111	518
177	111	516
178	112	513
179	112	511
180	112	509
181	112	507
182	113	504
183	113	502
184	113	500
185	113	498
186	114	496
187	114	494
188	114	492
189	115	490
190	115	489
191	115	488
192	116	486
193	116	484
194	116	482
195	117	481
196	117	479
197	117	477
198	118	475
199	118	473
200	118	471
201	118	469
202	119	467
203	119	465
204	119	463
205	119	462
206	120	460
207	120	458
208	120	456
209	121	455
210	121	453
211	121	451
212	121	450
213	122	448
214	122	446
215	122	445
216	122	443
217	123	441
218	123	440
219	123	439
220	124	438
221	124	436
222	124	435
223	125	433
224	125	432
225	125	431
226	126	429
227	126	428
228	126	426
229	127	425
230	127	424
231	127	423
232	128	422
233	128	420
234	128	419
235	129	417
236	129	416
237	129	415
238	129	413
239	130	412
240	130	410
241	130	409
242	130	408
243	131	406
244	131	405
245	131	403
246	132	402
247	132	401
248	132	400
249	133	399
250	133	398
251	133	397
252	134	395
253	134	394
254	134	393
255	134	392
256	135	390
257	135	389
258	135	388
259	136	387
260	136	386
261	136	385
262	137	384
263	137	383
264	137	382
265	138	380
266	138	379
267	138	378
268	138	377
269	139	376
270	139	375
271	139	373
272	139	372
273	140	371
274	140	370
275	140	369
276	141	368
277	141	367
278	141	366
279	141	365
280	142	364
281	142	363
282	142	362
283	143	360
284	143	359
285	143	358
286	144	357
287	144	356
288	144	355
289	145	355
290	145	353
291	145	352
292	145	351
293	146	350
294	146	349
295	146	349
296	147	348
297	147	347
298	147	346
299	147	345
300	148	344
301	148	343
302	148	342
303	149	341
304	149	340
305	149	339
306	150	338
307	150	337
308	150	336
309	150	336
310	151	335
311	151	334
312	151	333
313	152	332
314	152	331
315	152	330
316	153	329
317	153	328
318	153	327
319	153	327
320	154	326
321	154	325
322	154	324
323	155	323
324	155	322
325	155	321
326	156	321
327	156	320
328	156	319
329	156	318
330	157	317
331	157	316
332	157	315
333	157	314
334	158	314
335	158	313
336	158	312
337	159	311
338	159	310
339	159	309
340	159	308
341	160	308
342	160	307
343	160	306
344	161	305
345	161	304
346	161	303
347	161	303
348	162	302
349	162	301
350	162	300
351	162	299
352	163	299
353	163	298
354	163	297
355	164	296
356	164	296
357	165	295
358	165	295
359	165	294
360	165	293
361	166	293
362	166	292
363	167	292
364	167	291
365	167	290
366	168	289
367	168	289
368	168	288
369	168	287
370	169	287
371	169	286
372	169	285
373	170	284
374	170	284
375	170	283
376	171	282
377	171	281
378	171	281
379	171	280
380	172	279
381	172	278
382	172	278
383	172	277
384	173	276
385	173	276
386	173	275
387	174	274
388	174	273
389	174	273
390	175	272
391	175	271
392	175	271
393	175	270
394	176	269
395	176	268
396	176	268
397	176	267
398	177	266
399	177	266
400	177	265
401	178	264
402	178	264
403	178	263
404	178	262
405	179	262
406	179	261
407	179	260
408	180	260
409	180	259
410	180	258
411	180	258
412	181	257
413	181	256
414	181	256
415	182	255
416	182	254
417	182	254
418	182	253
419	183	252
420	183	252
421	183	251
422	183	250
423	184	250
424	184	249
425	184	248
426	185	248
427	185	248
428	186	247
429	186	247
430	186	246
431	187	246
432	187	245
433	187	244
434	187	244
435	188	243
436	188	242
437	188	242
438	188	241
439	189	240
440	189	239
441	189	239
442	189	238
443	190	238
444	190	237
445	190	236
446	190	236
447	191	235
448	191	234
449	191	234
450	191	233
451	192	232
452	192	232
453	192	231
454	193	231
455	194	231
456	194	231
457	194	230
458	196	231
459	196	230
460	196	230
461	197	229
462	197	229
463	197	228
464	198	227
465	198	227
466	198	226
467	199	226
468	199	225
469	199	225
470	199	224
471	200	223
472	200	223
473	200	222
474	200	222
475	201	221
476	201	220
477	201	220
478	201	219
479	202	218
480	202	218
481	202	217
482	203	217
483	203	216
484	203	216
485	203	215
486	204	215
487	204	214
488	204	213
489	204	213
490	205	212
491	205	212
492	205	211
493	205	210
494	206	210
495	206	209
496	206	209
497	207	208
498	207	208
499	207	207
500	207	207
501	208	206
502	208	205
503	208	205
504	209	204
505	209	204
506	209	203
507	209	203
508	210	202
509	210	202
510	211	202
511	211	201
512	211	201
513	212	200
514	212	200
515	212	199
516	213	199
517	213	198
518	213	197
519	213	197
520	214	196
521	214	196
522	214	195
523	214	195
524	215	194
525	215	194
526	215	193
527	216	193
528	216	192
529	216	192
530	216	191
531	217	191
532	217	190
533	217	190
534	218	189
535	218	189
536	218	188
537	219	188
538	219	187
539	219	187
540	219	186
541	220	186
542	220	185
543	220	185
544	221	184
545	221	184
546	221	183
547	221	182
548	222	182
549	222	181
550	222	181
551	222	180
552	223	180
553	223	179
554	223	179
555	224	178
556	224	178
557	224	177
558	224	177
559	225	176
560	225	176
561	225	175
562	225	175
563	226	174
564	226	174
565	227	174
566	227	173
567	227	173
568	228	172
569	228	172
570	228	171
571	229	171
572	229	171
573	229	170
574	230	170
575	230	169
576	230	169
577	231	168
578	231	168
579	231	167
580	231	167
581	232	166
582	232	166
583	232	165
584	233	165
585	233	164
586	233	164
587	233	163
588	234	163
589	234	162
590	234	162
591	235	162
592	235	161
593	235	161
594	235	160
595	236	160
596	236	159
597	236	159
598	237	158
599	237	158
600	237	157
601	237	157
602	238	156
603	238	156
604	238	155
605	238	155
606	239	154
607	239	154
608	239	153
609	239	153
610	240	152
611	240	152
612	240	152
613	241	151
614	241	151
615	241	150
616	242	150
617	242	150
618	243	149
619	243	149
620	243	148
621	243	148
622	244	147
623	244	147
624	245	147
625	245	146
626	245	146
627	245	145
628	246	145
629	246	144
630	246	144
631	246	143
632	247	143
633	247	142
634	247	142
635	248	142
636	248	141
